location,abbreviation,epiyear,epiweek,weighted_ili_now
27,MN,2010,45,0.3791
35,NM,2010,45,3.16996
42,PA,2010,45,0.867737
HHS01,HHS01,2010,45,0.499192
HHS02,HHS02,2010,45,1.33359
HHS03,HHS03,2010,45,1.13792
HHS04,HHS04,2010,45,1.3237
HHS05,HHS05,2010,45,1.05909
HHS06,HHS06,2010,45,2.41551
HHS07,HHS07,2010,45,0.682699
HHS08,HHS08,2010,45,0.848582
HHS09,HHS09,2010,45,1.65721
HHS10,HHS10,2010,45,0.776987
US,US,2010,45,1.34184
27,MN,2010,46,2.31883
35,NM,2010,46,4.09711
42,PA,2010,46,0.964675
HHS01,HHS01,2010,46,0.518956
HHS02,HHS02,2010,46,1.5038
HHS03,HHS03,2010,46,1.13236
HHS04,HHS04,2010,46,1.71693
HHS05,HHS05,2010,46,0.977692
HHS06,HHS06,2010,46,2.45568
HHS07,HHS07,2010,46,1.19806
HHS08,HHS08,2010,46,0.684352
HHS09,HHS09,2010,46,2.50697
HHS10,HHS10,2010,46,0.899001
US,US,2010,46,1.58032
27,MN,2010,47,0.433761
35,NM,2010,47,4.29192
42,PA,2010,47,1.10993
HHS01,HHS01,2010,47,0.718983
HHS02,HHS02,2010,47,1.45229
HHS03,HHS03,2010,47,1.26386
HHS04,HHS04,2010,47,1.91583
HHS05,HHS05,2010,47,0.808245
HHS06,HHS06,2010,47,2.37585
HHS07,HHS07,2010,47,1.46386
HHS08,HHS08,2010,47,0.491076
HHS09,HHS09,2010,47,3.00491
HHS10,HHS10,2010,47,1.27315
US,US,2010,47,1.69599
01,AL,2010,48,4.30881
02,AK,2010,48,0.85381
04,AZ,2010,48,1.15675
05,AR,2010,48,2.4985
06,CA,2010,48,3.46666
08,CO,2010,48,0.777445
09,CT,2010,48,0.745995
10,DE,2010,48,0.34256
11,DC,2010,48,2.58829
12,FL,2010,48,1.70005
13,GA,2010,48,5.81498
15,HI,2010,48,1.67923
16,ID,2010,48,2.8766
17,IL,2010,48,1.83434
18,IN,2010,48,0.977178
19,IA,2010,48,0.577884
20,KS,2010,48,0.924081
21,KY,2010,48,0.695939
22,LA,2010,48,3.02341
23,ME,2010,48,0.584587
24,MD,2010,48,1.82144
25,MA,2010,48,0.974976
26,MI,2010,48,0.778183
27,MN,2010,48,1.07304
28,MS,2010,48,5.2022
29,MO,2010,48,1.38518
30,MT,2010,48,0.467937
31,NE,2010,48,0.687363
32,NV,2010,48,2.53457
33,NH,2010,48,0.278935
34,NJ,2010,48,1.77769
35,NM,2010,48,3.62536
36,NY,2010,48,1.84272
37,NC,2010,48,0.604593
38,ND,2010,48,0.735595
39,OH,2010,48,0.609476
40,OK,2010,48,3.26804
41,OR,2010,48,1.01195
42,PA,2010,48,0.976523
44,RI,2010,48,0.669914
45,SC,2010,48,0.545063
46,SD,2010,48,1.00091
47,TN,2010,48,0.704549
48,TX,2010,48,2.374
49,UT,2010,48,0.880568
50,VT,2010,48,1.75009
51,VA,2010,48,1.6379
53,WA,2010,48,1.80611
54,WV,2010,48,1.94421
55,WI,2010,48,1.06819
56,WY,2010,48,0.682836
HHS01,HHS01,2010,48,0.830719
HHS02,HHS02,2010,48,1.82267
HHS03,HHS03,2010,48,1.39004
HHS04,HHS04,2010,48,2.30956
HHS05,HHS05,2010,48,1.09033
HHS06,HHS06,2010,48,2.61404
HHS07,HHS07,2010,48,1.01917
HHS08,HHS08,2010,48,0.785635
HHS09,HHS09,2010,48,3.04527
HHS10,HHS10,2010,48,1.64524
US,US,2010,48,1.91439
01,AL,2010,49,4.70782
02,AK,2010,49,0.743877
04,AZ,2010,49,1.32902
05,AR,2010,49,1.80534
06,CA,2010,49,2.66426
08,CO,2010,49,0.615674
09,CT,2010,49,0.725427
10,DE,2010,49,0.412414
11,DC,2010,49,3.29869
12,FL,2010,49,1.58428
13,GA,2010,49,4.82009
15,HI,2010,49,1.5997
16,ID,2010,49,2.3835
17,IL,2010,49,1.75854
18,IN,2010,49,0.942832
19,IA,2010,49,0.667383
20,KS,2010,49,0.855124
21,KY,2010,49,0.830096
22,LA,2010,49,2.71028
23,ME,2010,49,0.624383
24,MD,2010,49,1.97127
25,MA,2010,49,0.942813
26,MI,2010,49,0.666444
27,MN,2010,49,0.95346
28,MS,2010,49,5.00237
29,MO,2010,49,1.48608
30,MT,2010,49,0.248726
31,NE,2010,49,3.25202
32,NV,2010,49,3.45903
33,NH,2010,49,0.173379
34,NJ,2010,49,2.39159
35,NM,2010,49,3.55778
36,NY,2010,49,1.70747
37,NC,2010,49,0.601322
38,ND,2010,49,0.41991
39,OH,2010,49,0.471075
40,OK,2010,49,3.14089
41,OR,2010,49,0.91604
42,PA,2010,49,1.16921
44,RI,2010,49,0.846652
45,SC,2010,49,0.499755
46,SD,2010,49,1.08829
47,TN,2010,49,0.773364
48,TX,2010,49,2.42828
49,UT,2010,49,0.942547
50,VT,2010,49,2.20168
51,VA,2010,49,1.67169
53,WA,2010,49,1.65548
54,WV,2010,49,1.67
55,WI,2010,49,1.47388
56,WY,2010,49,0.655907
HHS01,HHS01,2010,49,0.837312
HHS02,HHS02,2010,49,1.91835
HHS03,HHS03,2010,49,1.51001
HHS04,HHS04,2010,49,2.14678
HHS05,HHS05,2010,49,1.04694
HHS06,HHS06,2010,49,2.54355
HHS07,HHS07,2010,49,1.40759
HHS08,HHS08,2010,49,0.692764
HHS09,HHS09,2010,49,2.49403
HHS10,HHS10,2010,49,1.4717
US,US,2010,49,1.80838
01,AL,2010,50,6.9124
02,AK,2010,50,0.818043
04,AZ,2010,50,2.03229
05,AR,2010,50,1.71518
06,CA,2010,50,3.68582
08,CO,2010,50,1.01073
09,CT,2010,50,0.740189
10,DE,2010,50,0.540376
11,DC,2010,50,3.04102
12,FL,2010,50,2.0738
13,GA,2010,50,6.03253
15,HI,2010,50,2.36673
16,ID,2010,50,1.88053
17,IL,2010,50,1.66164
18,IN,2010,50,1.02196
19,IA,2010,50,0.558311
20,KS,2010,50,0.715086
21,KY,2010,50,0.442566
22,LA,2010,50,2.82171
23,ME,2010,50,0.238313
24,MD,2010,50,1.20919
25,MA,2010,50,1.05868
26,MI,2010,50,1.02442
27,MN,2010,50,1.08867
28,MS,2010,50,5.23825
