wk_start,wk_end,year_wk_num,mmwrid
1961-12-31,1962-01-06,1,1
1962-01-07,1962-01-13,2,2
1962-01-14,1962-01-20,3,3
1962-01-21,1962-01-27,4,4
1962-01-28,1962-02-03,5,5
1962-02-04,1962-02-10,6,6
1962-02-11,1962-02-17,7,7
1962-02-18,1962-02-24,8,8
1962-02-25,1962-03-03,9,9
1962-03-04,1962-03-10,10,10
1962-03-11,1962-03-17,11,11
1962-03-18,1962-03-24,12,12
1962-03-25,1962-03-31,13,13
1962-04-01,1962-04-07,14,14
1962-04-08,1962-04-14,15,15
1962-04-15,1962-04-21,16,16
1962-04-22,1962-04-28,17,17
1962-04-29,1962-05-05,18,18
1962-05-06,1962-05-12,19,19
1962-05-13,1962-05-19,20,20
1962-05-20,1962-05-26,21,21
1962-05-27,1962-06-02,22,22
1962-06-03,1962-06-09,23,23
1962-06-10,1962-06-16,24,24
1962-06-17,1962-06-23,25,25
1962-06-24,1962-06-30,26,26
1962-07-01,1962-07-07,27,27
1962-07-08,1962-07-14,28,28
1962-07-15,1962-07-21,29,29
1962-07-22,1962-07-28,30,30
1962-07-29,1962-08-04,31,31
1962-08-05,1962-08-11,32,32
1962-08-12,1962-08-18,33,33
1962-08-19,1962-08-25,34,34
1962-08-26,1962-09-01,35,35
1962-09-02,1962-09-08,36,36
1962-09-09,1962-09-15,37,37
1962-09-16,1962-09-22,38,38
1962-09-23,1962-09-29,39,39
1962-09-30,1962-10-06,40,40
1962-10-07,1962-10-13,41,41
1962-10-14,1962-10-20,42,42
1962-10-21,1962-10-27,43,43
1962-10-28,1962-11-03,44,44
1962-11-04,1962-11-10,45,45
1962-11-11,1962-11-17,46,46
1962-11-18,1962-11-24,47,47
1962-11-25,1962-12-01,48,48
1962-12-02,1962-12-08,49,49
1962-12-09,1962-12-15,50,50
1962-12-16,1962-12-22,51,51
1962-12-23,1962-12-29,52,52
1962-12-30,1963-01-05,1,53
1963-01-06,1963-01-12,2,54
1963-01-13,1963-01-19,3,55
1963-01-20,1963-01-26,4,56
1963-01-27,1963-02-02,5,57
1963-02-03,1963-02-09,6,58
1963-02-10,1963-02-16,7,59
1963-02-17,1963-02-23,8,60
1963-02-24,1963-03-02,9,61
1963-03-03,1963-03-09,10,62
1963-03-10,1963-03-16,11,63
1963-03-17,1963-03-23,12,64
1963-03-24,1963-03-30,13,65
1963-03-31,1963-04-06,14,66
1963-04-07,1963-04-13,15,67
1963-04-14,1963-04-20,16,68
1963-04-21,1963-04-27,17,69
1963-04-28,1963-05-04,18,70
1963-05-05,1963-05-11,19,71
1963-05-12,1963-05-18,20,72
1963-05-19,1963-05-25,21,73
1963-05-26,1963-06-01,22,74
1963-06-02,1963-06-08,23,75
1963-06-09,1963-06-15,24,76
1963-06-16,1963-06-22,25,77
1963-06-23,1963-06-29,26,78
1963-06-30,1963-07-06,27,79
1963-07-07,1963-07-13,28,80
1963-07-14,1963-07-20,29,81
1963-07-21,1963-07-27,30,82
1963-07-28,1963-08-03,31,83
1963-08-04,1963-08-10,32,84
1963-08-11,1963-08-17,33,85
1963-08-18,1963-08-24,34,86
1963-08-25,1963-08-31,35,87
1963-09-01,1963-09-07,36,88
1963-09-08,1963-09-14,37,89
1963-09-15,1963-09-21,38,90
1963-09-22,1963-09-28,39,91
1963-09-29,1963-10-05,40,92
1963-10-06,1963-10-12,41,93
1963-10-13,1963-10-19,42,94
1963-10-20,1963-10-26,43,95
1963-10-27,1963-11-02,44,96
1963-11-03,1963-11-09,45,97
1963-11-10,1963-11-16,46,98
1963-11-17,1963-11-23,47,99
1963-11-24,1963-11-30,48,100
1963-12-01,1963-12-07,49,101
1963-12-08,1963-12-14,50,102
1963-12-15,1963-12-21,51,103
1963-12-22,1963-12-28,52,104
1963-12-29,1964-01-04,1,105
1964-01-05,1964-01-11,2,106
1964-01-12,1964-01-18,3,107
1964-01-19,1964-01-25,4,108
1964-01-26,1964-02-01,5,109
1964-02-02,1964-02-08,6,110
1964-02-09,1964-02-15,7,111
1964-02-16,1964-02-22,8,112
1964-02-23,1964-02-29,9,113
1964-03-01,1964-03-07,10,114
1964-03-08,1964-03-14,11,115
1964-03-15,1964-03-21,12,116
1964-03-22,1964-03-28,13,117
1964-03-29,1964-04-04,14,118
1964-04-05,1964-04-11,15,119
1964-04-12,1964-04-18,16,120
1964-04-19,1964-04-25,17,121
1964-04-26,1964-05-02,18,122
1964-05-03,1964-05-09,19,123
1964-05-10,1964-05-16,20,124
1964-05-17,1964-05-23,21,125
1964-05-24,1964-05-30,22,126
1964-05-31,1964-06-06,23,127
1964-06-07,1964-06-13,24,128
1964-06-14,1964-06-20,25,129
1964-06-21,1964-06-27,26,130
1964-06-28,1964-07-04,27,131
1964-07-05,1964-07-11,28,132
1964-07-12,1964-07-18,29,133
1964-07-19,1964-07-25,30,134
1964-07-26,1964-08-01,31,135
1964-08-02,1964-08-08,32,136
1964-08-09,1964-08-15,33,137
1964-08-16,1964-08-22,34,138
1964-08-23,1964-08-29,35,139
1964-08-30,1964-09-05,36,140
1964-09-06,1964-09-12,37,141
1964-09-13,1964-09-19,38,142
1964-09-20,1964-09-26,39,143
1964-09-27,1964-10-03,40,144
1964-10-04,1964-10-10,41,145
1964-10-11,1964-10-17,42,146
1964-10-18,1964-10-24,43,147
1964-10-25,1964-10-31,44,148
1964-11-01,1964-11-07,45,149
1964-11-08,1964-11-14,46,150
1964-11-15,1964-11-21,47,151
1964-11-22,1964-11-28,48,152
1964-11-29,1964-12-05,49,153
1964-12-06,1964-12-12,50,154
1964-12-13,1964-12-19,51,155
1964-12-20,1964-12-26,52,156
1964-12-27,1965-01-02,53,157
1965-01-03,1965-01-09,1,158
1965-01-10,1965-01-16,2,159
1965-01-17,1965-01-23,3,160
1965-01-24,1965-01-30,4,161
1965-01-31,1965-02-06,5,162
1965-02-07,1965-02-13,6,163
1965-02-14,1965-02-20,7,164
1965-02-21,1965-02-27,8,165
1965-02-28,1965-03-06,9,166
1965-03-07,1965-03-13,10,167
1965-03-14,1965-03-20,11,168
1965-03-21,1965-03-27,12,169
1965-03-28,1965-04-03,13,170
1965-04-04,1965-04-10,14,171
